org	detailScore	title	url	snippet
久山町	38	国民健康保険の給付	https://www.town.hisayama.fukuoka.jp/gyosei/iryo_kenko_fukushi/iryo_kenok/kenko_hoken/1790.html	国民健康保険の給付／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 医療・健康・福祉 医療
久山町	26	妊婦のための支援給付事業	https://www.town.hisayama.fukuoka.jp/gyosei/kosodate_kyoiku/ninshin_shussan/support_ninshin/4438.html	妊婦のための支援給付事業／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 子育て・教育 妊
久山町	26	出産・子育て応援給付金事業について	https://www.town.hisayama.fukuoka.jp/gyosei/kosodate_kyoiku/ninshin_shussan/support_ninshin/3100.html	出産・子育て応援給付金事業について／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 子育て
久山町	26	産後ケア事業	https://www.town.hisayama.fukuoka.jp/gyosei/kosodate_kyoiku/ninshin_shussan/support_ninshin/2641.html	産後ケア事業／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 子育て・教育 妊娠・出産 サ
久山町	26	久山町景観づくり助成事業	https://www.town.hisayama.fukuoka.jp/gyosei/kurashi/jumin_katsudo/4/1701.html	久山町景観づくり助成事業／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 くらし・手続き
久山町	26	特別児童扶養手当	https://www.town.hisayama.fukuoka.jp/gyosei/iryo_kenko_fukushi/shogai_fukushi/zyosei_kyosai/1957.html	特別児童扶養手当／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 医療・健康・福祉 障がい
久山町	26	自動車運転免許取得費助成の申請	https://www.town.hisayama.fukuoka.jp/gyosei/iryo_kenko_fukushi/shogai_fukushi/sonota/2348.html	自動車運転免許取得費助成の申請／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 医療・健康
久山町	26	自動車改造費助成の申請	https://www.town.hisayama.fukuoka.jp/gyosei/iryo_kenko_fukushi/shogai_fukushi/sonota/2346.html	自動車改造費助成の申請／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 医療・健康・福祉
久山町	26	久山町意思疎通支援事業のお知らせ	https://www.town.hisayama.fukuoka.jp/gyosei/iryo_kenko_fukushi/shogai_fukushi/sonota/1686.html	久山町意思疎通支援事業のお知らせ／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 医療・健
久山町	26	まちづくり活動助成制度	https://www.town.hisayama.fukuoka.jp/gyosei/kurashi/jumin_katsudo/volunteer_1/1595.html	まちづくり活動助成制度／久山町 スマートフォン版を表示 本文へ くらし・行政トップ くらし・手続き 医療・健康・ 福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 メニューを閉じる Select Language 組織から探す くらし・行政トップページ 久山町公式トップページ くらし・手続き 医療・健康 ・福祉 子育て・教育 観光・文化・ スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 PCサイトを表示 メニューを閉じる 現在の位置 ホーム くらし・行政 くらし・手続き 住
