rescore	organization	title	url	evidence
70	川南町	国民健康保険税の軽減および減免制度について	https://www.town.kawaminami.miyazaki.jp/soshiki/3/1242.html	国民健康保険税の軽減および減免制度について - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 保険・年金 > 国民健康保険 > 国民健康保険税の軽減および減免制度について 本文 国民健康保険税の軽減および減免制度について 記事ID：0001242 更新日：2021年6月25日更新 印刷ページ表示 非自発的失業者の軽減 解雇や倒産等で非自発的に失業した人に対して、国保税を軽減します。国保
69	川南町	物価高騰対応重点支援地方創生臨時交付金	https://www.town.kawaminami.miyazaki.jp/soshiki/2/14622.html	物価高騰対応重点支援地方創生臨時交付金 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 組織でさがす > 町長部局 > まちづくり課 > 物価高騰対応重点支援地方創生臨時交付金 本文 物価高騰対応重点支援地方創生臨時交付金 記事ID：0014622 更新日：2026年6月30日更新 印刷ページ表示 ​ 【物価高騰対応重点支援地方創生臨時交付金とは​】 「物価高騰対応重点支援地方創生臨時交付金」（重点支援地方交付金
68	川南町	国民健康保険の保険給付	https://www.town.kawaminami.miyazaki.jp/soshiki/6/1278.html	国民健康保険の保険給付 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 保険・年金 > 国民健康保険 > 国民健康保険の保険給付 本文 国民健康保険の保険給付 記事ID：0001278 更新日：2025年8月1日更新 印刷ページ表示 病気やケガのとき 医療費が高額のとき 出産・死亡・移送 保険が使えないとき 保険給付 (1) 病気やケガをしたとき 自己負担割合(一部負担金) 義務教育
68	都農町	重度障がい児福祉手当	https://www.town.tsuno.lg.jp/article?articleId=61f9d44acea7e4494b10e816	重度障がい児福祉手当 精神又は身体に重度の障害を有する児童に対し、福祉手当の支給を行うことにより児童の福祉増進を図ることを目的とした事業です。 対象者 18歳未満の以下のいずれかに該当する児童 ・療育手帳Aを所持する者 ・身体障害者手帳１級を所持する者 ・身体障害者手帳２級又は３級を所持し、療育手帳B－1を所持する者 ※手帳を所持していても、以下に該当する場合は支給対象となりません。 ・日本国民でないとき ・都農町に住所を有しないとき ・都農町に居住して１年を経過しないとき ・児童が施設に入所したとき 手当の額 障がい児童1人につき月額4,000円となります。 支給月 毎年９月及び3月にそれぞれの月までの分を支給します。
67	川南町	ひとり親家庭医療費助成制度	https://www.town.kawaminami.miyazaki.jp/soshiki/4/1343.html	ひとり親家庭医療費助成制度 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 子育て・教育 > ひとり親家庭医療費助成制度 本文 ひとり親家庭医療費助成制度 記事ID：0001343 更新日：2023年4月1日更新 印刷ページ表示 ひとり親家庭医療費助成制度について この制度は、ひとり親家庭等の医療費の助成することにより、生活の安定及び自立を支援することを目的とした
67	川南町	重度障がい者医療費助成	https://www.town.kawaminami.miyazaki.jp/soshiki/4/1361.html	重度障がい者医療費助成 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 医療・健康・福祉 > 医療・福祉 > 重度障がい者医療費助成 現在地 トップページ > 分類でさがす > くらし > 医療・健康・福祉 > 障がい者福祉 > 重度障がい者医療費助成 本文 重度障がい者医療費助成 記事ID：0001361 更新日：2025年12月4日更新 印刷ページ表示 重度障がい者医療費助成 制
66	川南町	新型コロナウイルス感染症の影響による介護保険料の減免について	https://www.town.kawaminami.miyazaki.jp/soshiki/4/1368.html	新型コロナウイルス感染症の影響による介護保険料の減免について - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 保険・年金 > 介護保険 > 新型コロナウイルス感染症の影響による介護保険料の減免について 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 介護 > 新型コロナウイルス感染症の影響による介護保険料の減免について 本文 新型コロナウイルス感染症の影響
65	川南町	防災士の資格取得に対する助成金制度について	https://www.town.kawaminami.miyazaki.jp/soshiki/1/10215.html	防災士の資格取得に対する助成金制度について - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > 地図でさがす > 町内施設 > 避難場所 > 防災士の資格取得に対する助成金制度について 現在地 トップページ > 分類でさがす > くらし > 救急・防災 > 防災 > 防災士の資格取得に対する助成金制度について 本文 防災士の資格取得に対する助成金制度について 記事ID：0010215 更新日：202
65	川南町	妊婦のための支援給付	https://www.town.kawaminami.miyazaki.jp/soshiki/4/13919.html	妊婦のための支援給付 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 組織でさがす > 町長部局 > 福祉課 > 妊婦のための支援給付 本文 妊婦のための支援給付 記事ID：0013919 更新日：2025年4月1日更新 印刷ページ表示 制度について 子ども・子育て支援法の一部を改正する法律（令和6年法律第47号）において、子ども・子育て支援法に「妊婦のための支援給付」が創設され、令和7年度から施行されました。
65	川南町	子どもの医療費助成制度	https://www.town.kawaminami.miyazaki.jp/soshiki/4/1340.html	子どもの医療費助成制度 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 子育て・教育 > 子どもの医療費助成制度 本文 子どもの医療費助成制度 記事ID：0001340 更新日：2023年4月1日更新 印刷ページ表示 子どもの医療費助成制度 川南町では、子育て世帯における医療費の負担軽減と、子どもの福祉の向上と健全な発育の促進を図ることを目的として、令和5年4月1
