score	organization	title	url	evidence
20	熊本市		https://www.city.kumamoto.jp/kiji0033984/index.html	熊本市役所へのアクセス / 熊本市公式サイト ヘッダーをスキップ オープニングへ 閲覧支援 Language さがす 緊急情報 自動で開かない 緊急情報 一覧へ ｜ 防災サイト ハザードマップ 避難場所 避難情報 避難所情報 配備体制状況 Language Language English 中文(简体字) 中文(繁體字) 한국어 日本語 やさしい日本語 元に戻す 閲覧支援 文字サイズを変更する 背景色を変更する 音声読み上げ 読み上げる やさしい日本語 適用する 元に戻す MENU TOP よくある質問 電子申請・
18	熊本市		https://www.city.kumamoto.jp/kiji00366571/index.html	【令和8年2月2日開始】区役所などの窓口受付時間が変わりました / 熊本市公式サイト ヘッダーをスキップ オープニングへ 閲覧支援 Language さがす 緊急情報 自動で開かない 緊急情報 一覧へ ｜ 防災サイト ハザードマップ 避難場所 避難情報 避難所情報 配備体制状況 Language Language English 中文(简体字) 中文(繁體字) 한국어 日本語 やさしい日本語 元に戻す 閲覧支援 文字サイズを変更する 背景色を変更する 音声読み上げ 読み上げる やさしい日本語 適用する 元に戻す M
15	熊本市		https://www.city.kumamoto.jp/kiji0033642/index.html	このホームページについて / 熊本市公式サイト ヘッダーをスキップ オープニングへ 閲覧支援 Language さがす 緊急情報 自動で開かない 緊急情報 一覧へ ｜ 防災サイト ハザードマップ 避難場所 避難情報 避難所情報 配備体制状況 Language Language English 中文(简体字) 中文(繁體字) 한국어 日本語 やさしい日本語 元に戻す 閲覧支援 文字サイズを変更する 背景色を変更する 音声読み上げ 読み上げる やさしい日本語 適用する 元に戻す MENU TOP よくある質問 電子申請
24	荒尾市	特定不妊治療費助成事業	https://www.city.arao.lg.jp/kenko/kenko/hahako/hokenjigyo/8417.html	特定不妊治療費助成事業 - 荒尾市 --> 本文へスキップします。 --> 読み上げる --> 本文へ ふりがなをつける 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 検索 --> 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 利用者別に探す こども・子育て 高齢者・介護 障がい者 外国人 --> 事業者 目的別に探す
24	荒尾市	地元での就職を応援します～有明圏域定住自立圏就職支援情報発信連携事業～	https://www.city.arao.lg.jp/0/9243.html	地元での就職を応援します～有明圏域定住自立圏就職支援情報発信連携事業～ - 荒尾市 --> 本文へスキップします。 --> 読み上げる --> 本文へ ふりがなをつける 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 検索 --> 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 利用者別に探す こども・子育て 高齢者・介護
24	荒尾市	熊本県女性の起業支援事業「わたしのプチ起業」グランドセミナー参加者募集！	https://www.city.arao.lg.jp/shisei/shisaku/danjyo-kyodo/11164.html	熊本県女性の起業支援事業「わたしのプチ起業」グランドセミナー参加者募集！ - 荒尾市 --> 本文へスキップします。 --> 読み上げる --> 本文へ ふりがなをつける 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 検索 --> 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 利用者別に探す こども・子育て 高齢者・介
24	荒尾市	奨学金の返済を支援します! 荒尾市奨学金返済わか者就労支援事業補助金	https://www.city.arao.lg.jp/oshirase/shigoto/page9288.html	奨学金の返済を支援します! 荒尾市奨学金返済わか者就労支援事業補助金 - 荒尾市 --> 本文へスキップします。 --> 読み上げる --> 本文へ ふりがなをつける 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 検索 --> 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 利用者別に探す こども・子育て 高齢者・介護
24	荒尾市	【求職者支援制度】再就職や転職を目指す人へ	https://www.city.arao.lg.jp/oshirase/shigoto/page19957.html	【求職者支援制度】再就職や転職を目指す人へ - 荒尾市 --> 本文へスキップします。 --> 読み上げる --> 本文へ ふりがなをつける 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 検索 --> 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 利用者別に探す こども・子育て 高齢者・介護 障がい者 外国人 -->
24	荒尾市	自動販売機設置事業に係る条件付一般競争入札を行います【（仮称）海陽公園】	https://www.city.arao.lg.jp/shisei/nyusatsu/12634.html	自動販売機設置事業に係る条件付一般競争入札を行います【（仮称）海陽公園】 - 荒尾市 --> 本文へスキップします。 --> 読み上げる --> 本文へ ふりがなをつける 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 検索 --> 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 利用者別に探す こども・子育て 高齢者・介
20	荒尾市	新型コロナウイルス感染症に関する荒尾市からのお知らせ	https://www.city.arao.lg.jp/oshirase/juyo/page15035.html	新型コロナウイルス感染症に関する荒尾市からのお知らせ - 荒尾市 --> 本文へスキップします。 --> 読み上げる --> 本文へ ふりがなをつける 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 検索 --> 文字色・大きさ 背景色 白 青 黒 文字サイズ 小さく 標準 大きく Foreign language English 簡体中文 繁体字 한국어 利用者別に探す こども・子育て 高齢者・介護 障がい者 外国人
