code	municipality	score	title	url	snippet
35213	美祢市	33		https://www2.city.mine.lg.jp/material/files/group/12/01.pdf
35213	美祢市	33		https://www2.city.mine.lg.jp/material/files/group/12/shinseiriyuupdf.pdf
35305	周防大島町	30	すおうおおしま子育て応援サイト - 周防大島町公式ホームページ	https://www.town.suo-oshima.lg.jp/site/kosodate/index-2.html	すおうおおしま子育て応援サイト - 周防大島町公式ホームページ ページの先頭です。 メニューを飛ばして本文へ 補助 検索 メニュー トップ 検索する メニュー 本文へ Translation 文字サイズ 拡大 標準 背景色 白 黒 青 一時保存 サイト内検索 Googleカスタム検索 検索対象 すべて ページ PDF ページID検索 ID検索 ページID検索とは？ 閉じる 目的でさがす 妊娠・出産 予防接種 手当・助成 子育て相談・支援 保育所 本文 新着情報 2026年6月25日更新 子育て中の親子への支援 2026年6月18日更新 一時預かり事業について 2026年4月1日更新 周防大島町在住の高校生に通学定期券購入費の一部を給付します（離島航路除く） 2026年4月1日更新 妊婦支援給付金事業（妊婦のため
