score	org	title	url	snippet
26	佐賀市	佐賀市保育士就職支援金給付	https://www.city.saga.lg.jp/kosodate-kyoiku/mokuteki/8/732.html	佐賀市保育士就職支援金給付／佐賀市公式ホームページ スマートフォン版を表示 本文へ キーワードで検索する 検索 目的から探す 年齢・対象から探す 施設から探す 背景色変更 文字サイズ ルビふり ルビをけす やさしい 日本語 やさしい 日本語をけす 音声 読み上げ 言語選択 Select Language English 中文（繁体） 中文（簡体） 한국어 Tiếng Việt bahasa Indonesia GO Select you
26	佐賀市	子育て支援センター「ゆめ・ぽけっと」	https://www.city.saga.lg.jp/kosodate-kyoiku/shisetsu/3/6441.html	子育て支援センター「ゆめ・ぽけっと」／佐賀市公式ホームページ スマートフォン版を表示 本文へ キーワードで検索する 検索 目的から探す 年齢・対象から探す 施設から探す 背景色変更 文字サイズ ルビふり ルビをけす やさしい 日本語 やさしい 日本語をけす 音声 読み上げ 言語選択 Select Language English 中文（繁体） 中文（簡体） 한국어 Tiếng Việt bahasa Indonesia GO Selec
26	佐賀市	東京圏から佐賀市に移住される方へ移住支援金を交付します	https://www.city.saga.lg.jp/kurashi/sumai/1/714.html	東京圏から佐賀市に移住される方へ移住支援金を交付します／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） 한국어 Tiếng Việt bahasa Indonesia GO Select your language 閲
26	佐賀市	放課後児童健全育成事業を行う事業者の皆様（届出様式等）	https://www.city.saga.lg.jp/kosodate-kyoiku/mokuteki/6/1624.html	放課後児童健全育成事業を行う事業者の皆様（届出様式等）／佐賀市公式ホームページ スマートフォン版を表示 本文へ キーワードで検索する 検索 目的から探す 年齢・対象から探す 施設から探す 背景色変更 文字サイズ ルビふり ルビをけす やさしい 日本語 やさしい 日本語をけす 音声 読み上げ 言語選択 Select Language English 中文（繁体） 中文（簡体） 한국어 Tiếng Việt bahasa Indonesia
26	佐賀市	本庄こども園子育て支援センター「つくしんぼう」	https://www.city.saga.lg.jp/kosodate-kyoiku/shisetsu/3/6425.html	本庄こども園子育て支援センター「つくしんぼう」／佐賀市公式ホームページ スマートフォン版を表示 本文へ キーワードで検索する 検索 目的から探す 年齢・対象から探す 施設から探す 背景色変更 文字サイズ ルビふり ルビをけす やさしい 日本語 やさしい 日本語をけす 音声 読み上げ 言語選択 Select Language English 中文（繁体） 中文（簡体） 한국어 Tiếng Việt bahasa Indonesia GO
26	佐賀市	幼児教育・保育の無償化	https://www.city.saga.lg.jp/kosodate-kyoiku/shisetsu/1/6428.html	幼児教育・保育の無償化／佐賀市公式ホームページ スマートフォン版を表示 本文へ キーワードで検索する 検索 目的から探す 年齢・対象から探す 施設から探す 背景色変更 文字サイズ ルビふり ルビをけす やさしい 日本語 やさしい 日本語をけす 音声 読み上げ 言語選択 Select Language English 中文（繁体） 中文（簡体） 한국어 Tiếng Việt bahasa Indonesia GO Select your
26	多久市	【先着順で受付中】多久市SAGAゼロカーボン加速化事業 太陽光発電設備・蓄電池導入補助金のご案内	https://www.city.taku.lg.jp/soshiki/24/35758.html	【先着順で受付中】多久市SAGAゼロカーボン加速化事業 太陽光発電設備・蓄電池導入補助金のご案内 - 多久市ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 検索 メニュー Pickup taku 本文へ language 文字サイズ 標準 拡大 背景色 白 黒 青 キーワード検索 Googleカスタム検索 組織でさがす くらし 消防防災・安心安全 住民票・戸籍・証明 税金 土地・住宅 道路・河川 上下水道
26	多久市	4月から福祉タクシー利用券の申請を受け付けます	https://www.city.taku.lg.jp/soshiki/8/1132.html	4月から福祉タクシー利用券の申請を受け付けます - 多久市ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 検索 メニュー Pickup taku 本文へ language 文字サイズ 標準 拡大 背景色 白 黒 青 キーワード検索 Googleカスタム検索 組織でさがす くらし 消防防災・安心安全 住民票・戸籍・証明 税金 土地・住宅 道路・河川 上下水道 まちづくり 移住・定住 都市計画・公園 消費生活
26	多久市	7月から国民年金保険料の免除等申請を受け付けます	https://www.city.taku.lg.jp/soshiki/2/1410.html	7月から国民年金保険料の免除等申請を受け付けます - 多久市ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 検索 メニュー Pickup taku 本文へ language 文字サイズ 標準 拡大 背景色 白 黒 青 キーワード検索 Googleカスタム検索 組織でさがす くらし 消防防災・安心安全 住民票・戸籍・証明 税金 土地・住宅 道路・河川 上下水道 まちづくり 移住・定住 都市計画・公園 消費生
26	多久市	高等職業訓練促進給付金を支給します	https://www.city.taku.lg.jp/soshiki/7/2482.html	高等職業訓練促進給付金を支給します - 多久市ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 検索 メニュー Pickup taku 本文へ language 文字サイズ 標準 拡大 背景色 白 黒 青 キーワード検索 Googleカスタム検索 組織でさがす くらし 消防防災・安心安全 住民票・戸籍・証明 税金 土地・住宅 道路・河川 上下水道 まちづくり 移住・定住 都市計画・公園 消費生活相談 環境
26	多久市	産婦健康診査受診票を交付します！	https://www.city.taku.lg.jp/soshiki/9/29607.html	産婦健康診査受診票を交付します！ - 多久市ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 検索 メニュー Pickup taku 本文へ language 文字サイズ 標準 拡大 背景色 白 黒 青 キーワード検索 Googleカスタム検索 組織でさがす くらし 消防防災・安心安全 住民票・戸籍・証明 税金 土地・住宅 道路・河川 上下水道 まちづくり 移住・定住 都市計画・公園 消費生活相談 環境 ご
26	多久市	自立支援教育訓練給付金を支給します	https://www.city.taku.lg.jp/soshiki/7/2484.html	自立支援教育訓練給付金を支給します - 多久市ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 検索 メニュー Pickup taku 本文へ language 文字サイズ 標準 拡大 背景色 白 黒 青 キーワード検索 Googleカスタム検索 組織でさがす くらし 消防防災・安心安全 住民票・戸籍・証明 税金 土地・住宅 道路・河川 上下水道 まちづくり 移住・定住 都市計画・公園 消費生活相談 環境
26	多久市	物価高対応子育て応援手当について【受付終了しています】	https://www.city.taku.lg.jp/soshiki/7/35600.html	物価高対応子育て応援手当について【受付終了しています】 - 多久市ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 検索 メニュー Pickup taku 本文へ language 文字サイズ 標準 拡大 背景色 白 黒 青 キーワード検索 Googleカスタム検索 組織でさがす くらし 消防防災・安心安全 住民票・戸籍・証明 税金 土地・住宅 道路・河川 上下水道 まちづくり 移住・定住 都市計画・公園
26	鳥栖市	【受付終了】令和6年度住民税非課税世帯に対する物価高騰対策支援給付金	https://www.city.tosu.lg.jp/soshiki/8/92677.html	鳥栖市ホームページ - 【受付終了】令和6年度住民税非課税世帯に対する物価高騰対策支援給付金 ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉
26	鳥栖市	【受付終了】令和6年度新たな住民税非課税世帯・均等割のみ課税世帯等に対する支援給付金	https://www.city.tosu.lg.jp/soshiki/8/81691.html	鳥栖市ホームページ - 【受付終了】令和6年度新たな住民税非課税世帯・均等割のみ課税世帯等に対する支援給付金 ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健
26	鳥栖市	空き家のリフォーム費用を補助します	https://www.city.tosu.lg.jp/soshiki/20/96854.html	鳥栖市ホームページ - 空き家のリフォーム費用を補助します ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉 スポーツ・文化・ イベント ビジ
26	鳥栖市	産婦健康診査の費用助成について	https://www.city.tosu.lg.jp/soshiki/10/96501.html	鳥栖市ホームページ - 産婦健康診査の費用助成について ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉 スポーツ・文化・ イベント ビジネス
26	鳥栖市	子どもの医療費助成及びひとり親家庭等医療費助成について電子申請を開始しました	https://www.city.tosu.lg.jp/soshiki/9/81995.html	鳥栖市ホームページ - 子どもの医療費助成及びひとり親家庭等医療費助成について電子申請を開始しました ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療
26	鳥栖市	児童手当制度改正による申請猶予期限は令和7年3月31日までです	https://www.city.tosu.lg.jp/soshiki/9/83003.html	鳥栖市ホームページ - 児童手当制度改正による申請猶予期限は令和7年3月31日までです ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉 スポ
26	鳥栖市	重度心身障害者医療費助成について電子申請を開始しました	https://www.city.tosu.lg.jp/soshiki/38/92880.html	鳥栖市ホームページ - 重度心身障害者医療費助成について電子申請を開始しました ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉 スポーツ・文
26	鳥栖市	生ごみ処理機購入費補助（一次募集）の受付を停止します	https://www.city.tosu.lg.jp/soshiki/17/7604.html	鳥栖市ホームページ - 生ごみ処理機購入費補助（一次募集）の受付を停止します ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉 スポーツ・文化
26	鳥栖市	鳥栖市空き店舗等活用支援事業補助金の募集が始まります	https://www.city.tosu.lg.jp/soshiki/18/64026.html	鳥栖市ホームページ - 鳥栖市空き店舗等活用支援事業補助金の募集が始まります ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉 スポーツ・文化
26	鳥栖市	日本脳炎予防接種の特例対象者について	https://www.city.tosu.lg.jp/soshiki/10/58479.html	鳥栖市ホームページ - 日本脳炎予防接種の特例対象者について ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉 スポーツ・文化・ イベント ビ
26	鳥栖市	物価高対応子育て応援手当の申請はお済ですか？	https://www.city.tosu.lg.jp/soshiki/9/106349.html	鳥栖市ホームページ - 物価高対応子育て応援手当の申請はお済ですか？ ページの先頭です。 メニューを飛ばして本文へ メニュー ＜外部リンク＞ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ はじめての方へ Foreign language ふりがな やさしい日本語 読み上げ 背景色 白 黒 青 文字サイズ 標準 拡大 くらし・手続き 子育て・教育 健康・医療・ 福祉 スポーツ・文化・ イベ
26	唐津市	「ひとり親家庭等医療費助成」の変更手続きについて教えてください	https://www.city.karatsu.lg.jp/page/2649.html	「ひとり親家庭等医療費助成」の変更手続きについて教えてください - 唐津市ホームページ（こども家庭課） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象 すべ
26	唐津市	「児童手当」に所得制限はありますか	https://www.city.karatsu.lg.jp/page/2642.html	「児童手当」に所得制限はありますか - 唐津市ホームページ（こども家庭課） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ページI
26	唐津市	「児童手当」の振込先口座を変更できますか	https://www.city.karatsu.lg.jp/page/2641.html	「児童手当」の振込先口座を変更できますか - 唐津市ホームページ（こども家庭課） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ペ
