code,name,score,status,title,keywords,url
"01397","留寿都村","","200","税に関する証明書を郵送で請求したいときは","住宅|事業者","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000153.html"
"01397","留寿都村","","200","個人住民税について","給付金|住宅|事業者","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000155.html"
"01397","留寿都村","","200","留寿都村空き家バンクの利用方法","移住|住宅|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000249.html"
"01397","留寿都村","","200","留寿都村の農業・畜産業","貸付|移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000256.html"
"01397","留寿都村","","200","融資制度","貸付|移住|起業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000257.html"
"01397","留寿都村","","200","留寿都村の商工業","移住|起業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000258.html"
"01397","留寿都村","","200","留寿都村の概要","移住|農業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000261.html"
"01397","留寿都村","","200","年表（昭和史以前）","貸付|移住|住宅|農業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000262.html"
"01397","留寿都村","","200","姉妹都市","移住|農業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000267.html"
"01397","留寿都村","","200","避難所","住宅|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000268.html"
"01397","留寿都村","","200","留寿都診療所","医療費助成|福祉|子育て|予防接種","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000283.html"
"01397","留寿都村","","200","庁舎案内","農業|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000290.html"
"01397","留寿都村","","200","リンク集","水産|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000291.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2001（ロックヒルズハイツ））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000355.html"
"01397","留寿都村","","200","留寿都村企業誘致のご案内","免除|事業者|水産","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000366.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2002（サザンパレス））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000442.html"
"01397","留寿都村","","200","よくある質問","移住|住宅|空き家|農業|水産|福祉|子育て|奨学金|通学","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000443.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2003（メゾンド石川））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000448.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2004（辻ハイツ第3））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000554.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2005（さかいアパート））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000606.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2006（コーポM1））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000610.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2007（ルネコーポ21））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000694.html"
"01397","留寿都村","","200","留寿都村への移住情報","一時金|移住|住宅|空き家|農業|水産|福祉|子育て|奨学金","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000696.html"
"01397","留寿都村","","200","留寿都村空き家・空き地情報一覧（物件情報詳細の一覧表）","移住|住宅|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000697.html"
"01397","留寿都村","","200","各課電話番号","農業|福祉|子育て","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000761.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2008（ハイランドハウス））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00000906.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2009（ハイツ辻））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00001089.html"
