rescore	score	organization	title	url	evidence
51	30	うるま市	年金生活者支援給付金	https://www.city.uruma.lg.jp/1006005000/contents/17349.html	年金生活者支援給付金 | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 暮らし・手続き > 保険・年金 > 年金 > 年金生活者支援給付金 ポスト LINEで送る ページID：2897 更新日：2026年6月5日 ここから本文です。 目次 年金生活者支援給付金 年金生活者支援給付金は、公的年金等の収入や所得が一定基準額以下の年金受給者の生活を支援す
38	21	うるま市	マイナンバーカードの申請補助サービスを実施しております	https://www.city.uruma.lg.jp/1006005000/contents/p000045.html	マイナンバーカードの申請補助サービスを実施しております | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 暮らし・手続き > 届出・証明 > マイナンバー（社会保障・税番号） > マイナンバーカード > マイナンバーカードの申請補助サービスを実施しております ポスト LINEで送る ページID：1968 更新日：2026年2月2日 ここから本文です
37	30	うるま市	マイナンバーカード（個人番号カード）の受取方法	https://www.city.uruma.lg.jp/1006005000/contents/p000046.html	マイナンバーカード（個人番号カード）の受取方法 | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 暮らし・手続き > 届出・証明 > マイナンバー（社会保障・税番号） > マイナンバーカード > マイナンバーカード（個人番号カード）の受取方法 ポスト LINEで送る ページID：1969 更新日：2026年2月2日 ここから本文です。 目次 マイナ
30	22	うるま市	ひとり親家庭支援	https://www.city.uruma.lg.jp/kosodatekyouiku/kosodate/hitorioya/index.html	ひとり親家庭支援 | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 子育て・教育 > 子育て > ひとり親家庭支援 ページID：126 ここから本文です。 ひとり親家庭支援 離婚後の子の養育に関する民法等の改正について ひとり親家庭の皆さんへご案内 児童扶養手当 母子家庭等自立支援事業 ひとり親家庭生活支援事業 母子父子寡婦福祉資金貸付制度について
27	20	うるま市	個人住民税の公的年金からの特別徴収	https://www.city.uruma.lg.jp/1003002000/contents/s0001-2-2-3.html	個人住民税の特別徴収（公的年金） | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 暮らし・手続き > 税金 > 個人住民税の課税・手続き > 個人住民税の課税について > 徴収方法について > 個人住民税の特別徴収（公的年金） ポスト LINEで送る ページID：6093 更新日：2025年12月19日 ここから本文です。 個人住民税の公的年金か
26	19	うるま市	産業・しごと	https://www.city.uruma.lg.jp/sangyoushigoto/index.html	産業・しごと | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 産業・しごと ページID：14 ここから本文です。 産業・しごと 新着情報 2026年7月17日 社会人経験者推薦入試のご案内 2026年7月17日 事業主推薦制度のご案内 2026年7月17日 県外輸送費補助事業が始まりました！ 2026年7月16日 令和8年度高規格救急自動車購入事
23	16	うるま市	年金に関するお知らせ	https://www.city.uruma.lg.jp/1006005000/contents/p000056.html	年金に関するお知らせ | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 暮らし・手続き > 保険・年金 > 年金 > 年金に関するお知らせ ポスト LINEで送る ページID：6098 更新日：2023年7月28日 ここから本文です。 目次 年金に関するお知らせ 【注意喚起】メール等による国民年金保険料未払い請求・督促詐欺に注意！ 令和5年3月22
23	16	うるま市	国民年金相談のご案内	https://www.city.uruma.lg.jp/1006005000/contents/470.html	国民年金相談のご案内 | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 暮らし・手続き > 保険・年金 > 年金 > 国民年金相談のご案内 ポスト LINEで送る ページID：1903 更新日：2023年4月5日 ここから本文です。 目次 国民年金相談のご案内 市役所窓口で国民年金相談をするとき 【本人が来所する場合】 基礎年金番号通知書（年金手帳
15	22	うるま市	事業者一覧	https://www.city.uruma.lg.jp/jigyosha/index.html	事業者一覧 | うるま市公式ホームページ 本文へスキップします。 うるま市 緊急情報 緊急情報 防災一口メモ 緊急情報一覧 緊急情報RSS Foreign Language 語句で検索 IDで検索 語句で検索 IDで検索 新着情報 ホーム 便利メニュー 閉じる 手続きナビ 検索メニュー 閉じる 防災・安全 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ まちづくり・環境 産業・しごと 市政情報 トップ > 事業者一覧 ポスト LINEで送る ページID：3081 ここから本文です。 事業者一覧 2026年7月17日 社会人経験者推薦入試のご案内 2026年7月17日 事業主推薦制度のご案内 2026年7月16日 令和8年度高規格救急自動車購入事業（車両及び車両装備）に係る制限付き一般競争入
56	30	沖縄市	水道料金の減免について	https://www.city.okinawa.okinawa.jp/k055/kurashi/jougesuidou/jousuidou/ryoukin/41250.html	水道料金の減免について | 沖縄市役所 本文へスキップします。 沖縄市 OKINAWA CITY 国際文化観光都市 緊急情報 Foreign Language サイト内検索 メニュー サイト内検索 検索方法 アクセスの多いページ 閉じる 緊急情報 緊急情報一覧 緊急情報RSS 文字サイズ・色合い変更 音声読み上げ やさしい日本語 分類から検索 安心・安全 暮らし・手続き 子育て･教育 健康・医療・福祉 スポーツ・文化 地域・環境 産業・事業者 市政情報 手続きから検索 開く 転入 （市外からの引越し） 転居 （市内での引越し） 転出 （市外への引越し） 婚姻 妊娠・子育て 出生 離婚 就職・退職 マイナンバー おくやみ 目的から検索 開く イベント情報 施設案内 よくある質問 相談窓口 申請書 ダウンロード 組
