status	organization	title	url	method
200	松浦市	松浦市定住奨励金	https://www.city-matsuura.jp/top/kurashi_tetsuzuki/sumai_seikatsukankyo/4703.html	chrome-channel-browser-cache
200	対馬市	移住･定住支援補助金	https://www.city.tsushima.nagasaki.jp/ijyu/support/iju-support/index.html	chrome-channel-browser-cache
200	対馬市	しまぐらし下見等事業補助金	https://www.city.tsushima.nagasaki.jp/ijyu/support/3126.html	chrome-channel-browser-cache
200	対馬市	空き家改修費等補助金	https://www.city.tsushima.nagasaki.jp/ijyu/support/3119.html	chrome-channel-browser-cache
200	対馬市	定住支援住宅(仁位)	https://www.city.tsushima.nagasaki.jp/ijyu/kurashi/sumai/teijyuusiennjyuutakubosyuu/5667.html	chrome-channel-browser-cache
200	壱岐市	壱岐市スポーツ大会等開催助成事業補助金について	https://www.city.iki.nagasaki.jp/kosodate/9020.html	chrome-channel-browser-cache
200	壱岐市	壱岐市防災資機材整備事業費補助金について	https://www.city.iki.nagasaki.jp/mokuteki/hojokin/3075.html	chrome-channel-browser-cache
200	壱岐市	小・中学生スポーツ大会等補助金について	https://www.city.iki.nagasaki.jp/mokuteki/hojokin/3451.html	chrome-channel-browser-cache
200	壱岐市	壱岐行き教育旅行推進事業費補助金について	https://www.city.iki.nagasaki.jp/mokuteki/hojokin/3453.html	chrome-channel-browser-cache
200	壱岐市	生ごみ堆肥化容器購入費補助金	https://www.city.iki.nagasaki.jp/mokuteki/hojokin/3454.html	chrome-channel-browser-cache
200	壱岐市	壱岐市防犯灯設置補助金について	https://www.city.iki.nagasaki.jp/mokuteki/hojokin/9430.html	chrome-channel-browser-cache
200	壱岐市	「子ども夢プラン応援」補助金申請等様式	https://www.city.iki.nagasaki.jp/mokuteki/hojokin/14788.html	chrome-channel-browser-cache
200	壱岐市	妊娠・出産・子育てに関すること（母子保健サービス）	https://www.city.iki.nagasaki.jp/kosodate/boshihoken/index.html	chrome-channel-browser-cache
200	壱岐市	子ども関係手当・制度	https://www.city.iki.nagasaki.jp/kosodate/kocomoteateseido/index.html	chrome-channel-browser-cache
200	壱岐市	壱岐市介護用品給付事業	https://www.city.iki.nagasaki.jp/mokuteki/kaigokourei/3025.html	chrome-channel-browser-cache
200	壱岐市	65歳～74歳で一定の障がいをお持ちの方へ	https://www.city.iki.nagasaki.jp/mokuteki/kaigokourei/3062.html	chrome-channel-browser-cache
200	壱岐市	福祉医療（医療費の助成制度）	https://www.city.iki.nagasaki.jp/soshiki/kodomo/fukushi_iryo/index.html	chrome-channel-browser-cache
200	壱岐市	子ども関係手当・制度	https://www.city.iki.nagasaki.jp/mokuteki/ninshin_shussan/12269.html	chrome-channel-browser-cache
200	壱岐市	妊娠・出産・子育てに関すること（母子保健サービス）	https://www.city.iki.nagasaki.jp/mokuteki/ninshin_shussan/12267.html	chrome-channel-browser-cache
200	壱岐市	奨学金制度	https://www.city.iki.nagasaki.jp/kosodate/syougakukin/index.html	chrome-channel-browser-cache
200	五島市	物価高対応子育て応援手当	https://www.city.goto.nagasaki.jp/s029/010/020/010/020/040/030/20240118162229.html	chrome-channel-browser-cache
200	五島市	小学生・中学生の福祉医療費の助成方法が変わります	https://www.city.goto.nagasaki.jp/s029/010/020/010/020/020/20250728104936.html	chrome-channel-browser-cache
200	五島市	児童扶養手当	https://www.city.goto.nagasaki.jp/s029/010/050/010/040/20200731.html	chrome-channel-browser-cache
200	五島市	ひとり親家庭への医療費助成（福祉医療費支給制度）	https://www.city.goto.nagasaki.jp/s029/010/050/010/020/20190311172305.html	chrome-channel-browser-cache
200	五島市	医療費の一部助成（乳幼児・子どもの福祉医療費）	https://www.city.goto.nagasaki.jp/s029/010/020/010/020/020/20190310004133.html	chrome-channel-browser-cache
200	五島市	児童手当	https://www.city.goto.nagasaki.jp/s029/010/020/010/020/010/20190310004528.html	chrome-channel-browser-cache
200	五島市	五島市一般不妊治療通院交通費等助成事業	https://www.city.goto.nagasaki.jp/s037/010/040/020/20190530212148.html	chrome-channel-browser-cache
200	五島市	五島市生殖補助医療費助成事業	https://www.city.goto.nagasaki.jp/s037/010/040/010/20190301161458.html	chrome-channel-browser-cache
200	五島市	医療費の給付、助成（福祉医療費支給制度、自立支援医療）	https://www.city.goto.nagasaki.jp/s030/010/030/020/010/20190311213826.html	chrome-channel-browser-cache
200	五島市	小児慢性特定疾病児童日常生活用具給付事業	https://www.city.goto.nagasaki.jp/s030/010/030/020/070/080/20190311214550.html	chrome-channel-browser-cache
200	五島市	医療的ケア児訪問型レスパイト助成事業	https://www.city.goto.nagasaki.jp/s030/010/030/020/110/20230222154539.html	chrome-channel-browser-cache
200	五島市	医療的ケア児非常用電源装置購入費助成事業	https://www.city.goto.nagasaki.jp/s030/010/030/020/100/20230222154539.html	chrome-channel-browser-cache
200	五島市	障害者自動車運転免許取得費助成事業	https://www.city.goto.nagasaki.jp/s030/010/030/020/070/100/20190607105500.html	chrome-channel-browser-cache
200	五島市	NHKテレビの受信料免除	https://www.city.goto.nagasaki.jp/s030/010/030/020/070/020/20190311221204.html	chrome-channel-browser-cache
200	五島市	生活福祉資金の貸付	https://www.city.goto.nagasaki.jp/s030/010/030/020/070/030/20190311221026.html	chrome-channel-browser-cache
200	五島市	障害児福祉手当	https://www.city.goto.nagasaki.jp/s030/010/030/020/050/040/20190311232231.html	chrome-channel-browser-cache
200	五島市	特別障害者手当	https://www.city.goto.nagasaki.jp/s030/010/030/020/050/030/20190311232459.html	chrome-channel-browser-cache
200	五島市	特別児童扶養手当	https://www.city.goto.nagasaki.jp/s030/010/030/020/050/020/20260202165449.html	chrome-channel-browser-cache
