municipalityCode,municipalityName,score,status,title,keywordHits,sourceUrl
"01333","知内町","2","200","","移住|空家|水産|福祉|子育て","https://www.town.shiriuchi.hokkaido.jp/kanko/event/"
"01333","知内町","2","200","","移住|空家|農業|林業|水産|福祉|子育て","https://www.town.shiriuchi.hokkaido.jp/kanko/sangyo/"
"01333","知内町","2","200","","移住|住宅|空家|農業|水産|福祉|子育て","https://www.town.shiriuchi.hokkaido.jp/kanko/ninaitecenter/"
"01334","木古内町","8","200","サイトマップ｜北海道木古内町","補助金|給付金|一時金|支援金|貸付|減免|免除|医療費助成|移住|住宅|空き家|空家|起業|事業者|農業|林業|水産|福祉|子育て|耐震|省エネ|予防接種|不妊|妊婦|通学","https://www.town.kikonai.hokkaido.jp/sitemap.html"
"01334","木古内町","4","200","","給付金|移住|空き家|起業|福祉|子育て|通学","https://www.town.kikonai.hokkaido.jp/kurashi/tetsuzuki/"
"01334","木古内町","3","200","","補助金|貸付|移住|住宅|起業|福祉|子育て","https://www.town.kikonai.hokkaido.jp/"
"01334","木古内町","3","200","","移住|住宅|空家|起業|農業|福祉|子育て|通学","https://www.town.kikonai.hokkaido.jp/gyosei/sesaku/"
"01334","木古内町","2","200","お問い合わせ （木古内町役場あて） ｜北海道木古内町","移住|起業|福祉","https://www.town.kikonai.hokkaido.jp/inquiry/1.html"
"01334","木古内町","2","200","サイトの使い方｜北海道木古内町","移住|起業|福祉","https://www.town.kikonai.hokkaido.jp/howto.html"
"01334","木古内町","2","200","","医療費助成|移住|住宅|子育て","https://www.town.kikonai.hokkaido.jp/iju/"
"01334","木古内町","2","200","","貸付|移住|起業|福祉","https://www.town.kikonai.hokkaido.jp/gyosei/nyusatsu/"
"01334","木古内町","2","200","","助成金|移住|起業|福祉","https://www.town.kikonai.hokkaido.jp/gyosei/yuchi/"
"01334","木古内町","2","200","人事｜北海道木古内町","移住|起業|福祉","https://www.town.kikonai.hokkaido.jp/gyosei/jinji/"
"01334","木古内町","2","200","","補助金|移住|起業|福祉","https://www.town.kikonai.hokkaido.jp/gyosei/ouinsyouryaku.html"
"01337","七飯町","12","200","サイトマップ","補助金|助成金|給付金|一時金|支援金|奨励金|貸付|減免|医療費助成|移住|住宅|空き家|空家|創業|事業者|農業|林業|水産|福祉|子育て|就学|奨学金|耐震|予防接種|不妊|妊婦|通学","https://www.town.nanae.hokkaido.jp/hotnews/sitemap/"
"01337","七飯町","5","200","移住・定住","支援金|移住|住宅|福祉|子育て|予防接種|通学","https://www.town.nanae.hokkaido.jp/hotnews/category/160.html"
"01337","七飯町","5","200","予防接種","移住|住宅|福祉|子育て|予防接種|妊婦|通学","https://www.town.nanae.hokkaido.jp/hotnews/category/176.html"
"01337","七飯町","4","200","","移住|住宅|農業|福祉|子育て|就学|予防接種|通学","https://www.town.nanae.hokkaido.jp/"
"01337","七飯町","4","200","Foreign Language","移住|住宅|福祉|子育て|予防接種|通学","https://www.town.nanae.hokkaido.jp/hotnews/detail/00008526.html"
"01337","七飯町","4","200","七飯町通学路交通安全プログラム関係","移住|住宅|福祉|子育て|予防接種|通学","https://www.town.nanae.hokkaido.jp/hotnews/category/410.html"
"01343","鹿部町","9","200","企業版ふるさと納税について","補助金|医療費助成|移住|空き家|起業|事業者|水産|福祉|子育て|奨学金|予防接種|不妊|妊婦","https://www.town.shikabe.lg.jp/choseijoho/kigyobanfurusatonozei/1245.html"
"01343","鹿部町","5","200","移住・定住","補助金|支援金|移住|住宅|空き家|福祉|子育て","https://www.town.shikabe.lg.jp/kurashi_tetsuzuki/iju_teiju/index.html"
"01343","鹿部町","4","200","未来きらきらプラン","医療費助成|福祉|子育て|奨学金|不妊","https://www.town.shikabe.lg.jp/kosodate_kyoiku/miraikirakiraplan/2252.html"
"01345","森町","3","200","もりまちへの移住","支援金|移住|福祉|子育て","https://www.town.hokkaido-mori.lg.jp/kurashi-tetsuzuki/iju-teiju/index.html"
"01345","森町","2","200","LINEで町のお知らせが受け取れます！","給付金|福祉|子育て","https://www.town.hokkaido-mori.lg.jp/soshiki/kikakushinko/5/1796.html"
"01346","八雲町","5","200","住民生活課","給付金|一時金|免除|医療費助成|子育て|妊婦","https://www.town.yakumo.lg.jp/soshiki/jyuumin/"
"01346","八雲町","4","200","入園・入学","貸付|就学|奨学金","https://www.town.yakumo.lg.jp/life/1/31/159/"
"01346","八雲町","4","200","政策推進課","補助金|移住|住宅|事業者|就学|省エネ","https://www.town.yakumo.lg.jp/soshiki/seisaku/"
"01346","八雲町","4","200","建設課","補助金|住宅|空家|耐震","https://www.town.yakumo.lg.jp/soshiki/kensetsu/"
"01346","八雲町","3","200","地図でさがす","移住|空き家|福祉","https://www.town.yakumo.lg.jp/map/"
"01346","八雲町","3","200","八雲町マップ","移住|空き家|福祉","https://www.town.yakumo.lg.jp/life/4/"
"01346","八雲町","2","200","イベントカレンダー","事業者|福祉|子育て|就学","https://www.town.yakumo.lg.jp/calendar/index.php"
"01346","八雲町","2","200","イベントカレンダー","事業者|福祉|子育て|就学","https://www.town.yakumo.lg.jp/calendar/"
"01346","八雲町","2","200","妊娠・出産","妊婦","https://www.town.yakumo.lg.jp/life/1/31/157/"
"01346","八雲町","2","200","子育て","子育て|予防接種","https://www.town.yakumo.lg.jp/life/1/31/158/"
"01346","八雲町","2","200","引越し","移住","https://www.town.yakumo.lg.jp/life/1/31/162/"
