municipalityCode,municipalityName,score,priority,label,url,snippet
"22102","浜松市","40","low","創業・産業・ビジネス","https://www.city.hamamatsu.shizuoka.jp/sangyo/index.html",""
"22102","浜松市","40","low","申請や手続きから探す","https://www.city.hamamatsu.shizuoka.jp/shinse/index.html",""
"22102","浜松市","40","low","事業者の方へ【浜松市の上下水道】","https://www.city.hamamatsu.shizuoka.jp/kurashi-tetsuzuki/suido/business.html",""
"22102","浜松市","40","low","事業者の方","https://www.city.hamamatsu.shizuoka.jp/jigyosha/index.html",""
"22102","浜松市","40","low","令和8年度実施浜松市立小・中学校教員採用選考試験2次試験受験者の皆さまへ","https://www.city.hamamatsu.shizuoka.jp/kyoshoku/saiyou/8jissi_shiken2jiannai.html",""
"22102","浜松市","40","low","令和8年度マイナンバーカード等専用プリンタ賃貸借（25台）","https://www.city.hamamatsu.shizuoka.jp/siminkj/bid/mynumber_printer8.html",""
"22102","浜松市","40","low","証明書コンビニ交付サービス（戸籍・住民票・印鑑・附票）","https://www.city.hamamatsu.shizuoka.jp/siminkj/shomei/conveni.html",""
"22102","浜松市","40","low","第1次試験（実技試験・個別面接）対象者［第2類行政職員（幼稚園教諭・保育士・保育教諭）］","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/2ruiyouho-mentai.html",""
"22102","浜松市","40","low","第1次試験個別面接対象者［第1類行政職員（学芸員）］","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/1ruigekugei-mentai.html",""
"22102","浜松市","40","low","第3類消防職員（高校・短大等）を募集します","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/3ruisyoubo-bosyu.html",""
"22102","浜松市","40","low","第2類行政職員（短大・大学等）第3類行政職員（高校・短大等）を募集します","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/2rui3rui-bosyuu.html",""
"22102","浜松市","40","low","中高生を対象とした軽音楽祭開催事業","https://www.city.hamamatsu.shizuoka.jp/bunka/intro/mc/keiongakusai.html",""
"22102","浜松市","40","low","緑化推進センターの指定管理者を募集します","https://www.city.hamamatsu.shizuoka.jp/ryokuka/shiteikanri/r8ryokukasuisinsenta.html",""
"22102","浜松市","40","low","第1次試験個別面接対象者［第1類行政職員（学芸員を除く事務・技術）］","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/1rui-jimugijutu-mentai.html",""
