organization	title	url	status	score	evidence
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji003628/index.html	200	26	乳幼児・子ども・ひとり親・寡婦 福祉医療費支給制度 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0031217/index.html	200	26	新生児聴覚検査事業 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 新型コロナ情報 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・出産 乳幼児
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0038042/index.html	200	26	就学援助の申請受付（令和8年度分） / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0031421/index.html	200	26	放課後児童クラブを利用されるひとり親の方へ利用料の一部を助成します / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 新型コロナ情報 休日当番医 マイページ 年齢・対象別で探す 目的別で探す
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0032111/index.html	200	26	奨学資金償還補助金 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・出産 乳幼児
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji003409/index.html	200	26	令和8年度雲仙市奨学資金の案内 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0032904/index.html	200	26	母子父子寡婦福祉資金貸付制度 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・出
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0035139/index.html	200	26	児童扶養手当 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・出産 乳幼児（0～
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0034901/index.html	200	26	特別児童扶養手当 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・出産 乳幼児（
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0036148/index.html	200	26	小中学生の遠距離通学費を補助します / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊
