id	rescored	originalScore	organization	title	url	evidence
127	59	30	高原町	国民健康保険税の減免	https://www.town.takaharu.lg.jp/soshiki/20230402/21984.html	国民健康保険税の減免 - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 町民課 > 国民健康保険税の減免 本文 国民健康保険税の減免 印刷ページ表示 大きな文字で印刷ページ表示 更新
134	59	30	高原町	各種減免・助成制度について	https://www.town.takaharu.lg.jp/soshiki/20230403/1101.html	各種減免・助成制度について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 福祉課 > 各種減免・助成制度について 本文 各種減免・助成制度について 印刷ページ表示 大きな文字で印
120	55	30	高原町	地方創生推進交付金事業に係る効果検証結果について	https://www.town.takaharu.lg.jp/soshiki/31/1322.html	地方創生推進交付金事業に係る効果検証結果について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 企画政策課 > 地方創生推進交付金事業に係る効果検証結果について 本文 地方創生推
126	55	30	高原町	令和8年度から子ども・子育て支援金制度が始まります	https://www.town.takaharu.lg.jp/soshiki/20230402/303214.html	令和8年度から子ども・子育て支援金制度が始まります - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 町民課 > 令和8年度から子ども・子育て支援金制度が始まります 本文 令和8年度
130	55	30	高原町	保険者機能強化推進交付金等にかかる評価結果を公表します。	https://www.town.takaharu.lg.jp/soshiki/20230403/290719.html	保険者機能強化推進交付金等にかかる評価結果を公表します。 - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 福祉課 > 保険者機能強化推進交付金等にかかる評価結果を公表します。 本文
139	55	30	高原町	児童手当の制度改正（拡充）（令和6年10月分以降）	https://www.town.takaharu.lg.jp/soshiki/202304004/260932.html	児童手当の制度改正（拡充）（令和6年10月分以降） - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 健康課 > 児童手当の制度改正（拡充）（令和6年10月分以降） 本文 児童手当の
145	53	28	高原町	令和７年４月から適用する介護給付費算定に係る体制等に関する届出について	https://www.town.takaharu.lg.jp/soshiki/20230403/293268.html	令和７年４月から適用する介護給付費算定に係る体制等に関する届出について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 福祉課 > 令和７年４月から適用する介護給付費算定に係る体制
107	51	30	高原町	大区画化等加速化支援事業について（農地の大区画化）	https://www.town.takaharu.lg.jp/soshiki/21/305196.html	大区画化等加速化支援事業について（農地の大区画化） - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 農畜産振興課 > 大区画化等加速化支援事業について（農地の大区画化） 本文 大区
110	51	30	高原町	子ども医療費助成制度について	https://www.town.takaharu.lg.jp/soshiki/202304004/1137.html	子ども医療費助成制度について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 健康課 > 子ども医療費助成制度について 本文 子ども医療費助成制度について 印刷ページ表示 大きな文
111	51	30	高原町	乳幼児医療費助成制度について	https://www.town.takaharu.lg.jp/soshiki/202304004/1110.html	乳幼児医療費助成制度について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 健康課 > 乳幼児医療費助成制度について 本文 乳幼児医療費助成制度について 印刷ページ表示 大きな文
