id	rescore	score	organization	title	url	snippet
11	69	42	えびの市	がん患者のためのアピアランスケア支援助成金	https://www.city.ebino.lg.jp/kenko_fukushi/iryo_kenko/iryo/6518.html	がん患者のためのアピアランスケア支援助成金／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language P
12	69	42	えびの市	母子および父子家庭医療費助成制度	https://www.city.ebino.lg.jp/kosodate_kyoiku/kosodate/kosodate/shien_support/2781.html	母子および父子家庭医療費助成制度／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る
13	69	42	えびの市	飯野高等学校奨学金給付事業	https://www.city.ebino.lg.jp/kosodate_kyoiku/kyoiku/gakko_kyoiku/josei_shien_shorei/2503.html	飯野高等学校奨学金給付事業／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマ
14	69	42	えびの市	タクシー利用料金助成事業について	https://www.city.ebino.lg.jp/kurashi_tetsuduki/chiikikokyokotsu/taxi/2259.html	タクシー利用料金助成事業について／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る
15	65	42	えびの市	新型コロナウイルス感染症に係る傷病手当金について	https://www.city.ebino.lg.jp/kenko_fukushi/hoken_nenkin/kokuminkenkohoken/3929.html	新型コロナウイルス感染症に係る傷病手当金について／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Languag
16	65	42	えびの市	えびの市骨髄移植ドナー支援事業	https://www.city.ebino.lg.jp/kenko_fukushi/iryo_kenko/iryo/2327.html	えびの市骨髄移植ドナー支援事業／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る
17	65	38	えびの市	飯野高等学校通学支援金給付事業	https://www.city.ebino.lg.jp/kosodate_kyoiku/kyoiku/gakko_kyoiku/josei_shien_shorei/2504.html	飯野高等学校通学支援金給付事業／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る
18	63	30	えびの市	お試し滞在助成金	https://www.city.ebino.lg.jp/kanko/iju_teiju/josei_shien/3134.html	お試し滞在助成金／えびの市 スマートフォン版を表示 本文へ 閉じる ホーム えびの市のみどころ グルメ・特産品 温泉・宿泊 エリアで情報をさがす Foreign Language えびの市ホームページ 文字サイズ 背景色変更 閉じる 現在の位置 ホーム 観光サイト 移住・定住 助成・支援 お試し滞在助成金 お試し滞在助成金 Tweet 更新日：2026年07月01日 趣旨 えびの市への移住を目的として住居または仕事を探す活動を行う人を対象に、宿泊料およびレンタカー借上料の一部
19	63	30	えびの市	空き家バンク関連補助金	https://www.city.ebino.lg.jp/kanko/iju_teiju/jutakukanren/3116.html	空き家バンク関連補助金／えびの市 スマートフォン版を表示 本文へ 閉じる ホーム えびの市のみどころ グルメ・特産品 温泉・宿泊 エリアで情報をさがす Foreign Language えびの市ホームページ 文字サイズ 背景色変更 閉じる 現在の位置 ホーム 観光サイト 移住・定住 住宅関連 空き家バンク関連補助金 空き家バンク関連補助金 Tweet 更新日：2026年07月01日 えびの市空き家バンク活動事業補助金 空き家バンクに登録した空き家で、市外からの移住者との間に売
20	63	30	えびの市	新婚世帯家賃助成金	https://www.city.ebino.lg.jp/kanko/iju_teiju/jutakukanren/3136.html	新婚世帯家賃助成金／えびの市 スマートフォン版を表示 本文へ 閉じる ホーム えびの市のみどころ グルメ・特産品 温泉・宿泊 エリアで情報をさがす Foreign Language えびの市ホームページ 文字サイズ 背景色変更 閉じる 現在の位置 ホーム 観光サイト 移住・定住 住宅関連 新婚世帯家賃助成金 新婚世帯家賃助成金 Tweet 更新日：2026年05月25日 事業内容 新婚世帯の市内への定住促進および民間賃貸住宅の活用を図るため、市内の民間賃貸住宅に居住する新婚世
