org	title	url	originalScore	rescore	snippet
さつま町	通学費補助	https://www.satsuma-net.jp/kosodate/mokuteki/syoutyuugakkoujouhou/8115.html	42	73	通学費補助／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 小・中学校情報 通学費補助 通学費補助 Tweet 更新日：2025年04月21日 本町では、通学費に係る保護者の負担を軽減するために、町内に居住し、町内
さつま町	就学援助制度	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/gakkou_josei/8131.html	42	73	就学援助制度／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 学校関係助成 就学援助制度 就学援助制度 Tweet 更新日：2024年04月01日 就学援助制度とは 生活保護世帯に準ずる世帯で経済的理由
さつま町	通学費補助	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/gakkou_josei/8114.html	42	73	通学費補助／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 学校関係助成 通学費補助 通学費補助 Tweet 更新日：2025年04月21日 本町では、通学費に係る保護者の負担を軽減するために、町内に居
さつま町	子ども医療費給付事業（令和7年4月から対象者拡大）	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/iryouhi_josei/9165.html	42	73	子ども医療費給付事業（令和7年4月から対象者拡大）／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 医療費助成 子ども医療費給付事業（令和7年4月から対象者拡大） 子ども医療費給付事業（令和7年4月から
さつま町	特別児童扶養手当	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/teate/7893.html	42	73	特別児童扶養手当／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 手当 特別児童扶養手当 特別児童扶養手当 Tweet 更新日：2026年05月18日 手当を受けることができる方 20歳未満で、身体また
さつま町	児童手当制度の改正（令和6年10月分から）	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/teate/7891.html	42	73	児童手当制度の改正（令和6年10月分から）／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 手当 児童手当制度の改正（令和6年10月分から） 児童手当制度の改正（令和6年10月分から） Tweet 更新
三島村	児童扶養手当	https://mishimamura.com/toumin/%e5%ad%90%e8%82%b2%e3%81%a6%e6%94%af%e6%8f%b4/kosodate/	30	69	児童扶養手当 | 鹿児島県三島村 コロナウィルス感染拡大防止の 徹底について --> 島民の皆さん For islanders 子育て支援 「冒険ランドいおうじま」の今後の活用等について 三島村さくらねこ無料不妊手術事業（行政枠）について 農業委員会から 後期高齢者医療制度 国民健康保険制度 介護保険について 申請書いろいろ 社会保障･税番号(マイナンバー)制度 戸籍･住民の手続き【戸籍届出・住民票・証明書】 税金 公共施設 ゴミ･家電処分について 防災 年金について 議会だより 福祉 広報みしま 補助金・事業 検診 準住民割引カード･準住民割引許可書 三島村自動車航送運賃助成事業 教育・文化・歴史 Education, Culture and History 三島村の行政 Government of Mish
さつま町	手当	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/teate/index.html	37	68	手当／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 手当 手当 Tweet 児童手当制度の改正（令和6年10月分から） 児童手当現況届の廃止と保育園等の現況届確認期間の変更について 特別児童扶養手当
さつま町	物価高対応子育て応援手当	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/9756.html	42	67	物価高対応子育て応援手当／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 物価高対応子育て応援手当 物価高対応子育て応援手当 Tweet 更新日：2026年04月06日 令和7年11月21日に閣議決定さ
さつま町	未熟児養育医療給付制度	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/iryouhi_josei/8026.html	42	67	未熟児養育医療給付制度／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 医療費助成 未熟児養育医療給付制度 未熟児養育医療給付制度 Tweet 更新日：2024年03月01日 未熟児養育医療の給付 身体
