status	url	title
200	https://www.city.hioki.kagoshima.jp/korei/kurashi/kenko-iryo/fukushi/koresha/shoku.html	日置市 「食」の自立支援事業(配食サービス)
200	https://www.city.hioki.kagoshima.jp/korei/kurashi/kenko-iryo/fukushi/koresha/kinkyutsuho.html	日置市 緊急通報装置設置費補助
200	https://www.city.hioki.kagoshima.jp/korei/kurashi/kenko-iryo/fukushi/koresha/rojinkaigo.html	日置市 高齢者介護手当支給事業
200	https://www.city.hioki.kagoshima.jp/korei/kurashi/kenko-iryo/fukushi/koresha/hari-kyunado.html	日置市 高齢者はり・きゅう等施術費助成事業
200	https://www.city-kirishima.jp/jidou/kosodate/kosodate/support/kosodateshien.html	霧島市 地域の子育て支援事業（子育て支援センター）
200	https://www.city-kirishima.jp/kikaku/kurashi/jichikai-siminkatsudou/community.html	霧島市 コミュニティ助成事業
200	https://www.city-kirishima.jp/kou-shou/kosodate/shogaisha/shien/syougaijifukushiteate.html	霧島市 障害児福祉手当
200	https://www.city-kirishima.jp/kou-shou/kosodate/shogaisha/shien/fukushiteate.html	霧島市 霧島市福祉手当について
200	https://www.city.ichikikushikino.lg.jp/fukushi2/kenko/kosodate/iryo/kodomoiryo.html	いちき串木野市 子ども医療費給付事業
200	https://www.city.ichikikushikino.lg.jp/fukushi2/kenko/kosodate/iryo/hitorioya.html	いちき串木野市 ひとり親家庭等医療費助成事業
200	https://www.city.ichikikushikino.lg.jp/fukushi2/kenko/kosodate/teate/kosodateshien.html	いちき串木野市 未来の宝子育て支援金支給事業
200	https://www.city.ichikikushikino.lg.jp/kenko1/kenko/kenko/kenkozukuri/gan_shien.html	いちき串木野市 がん患者に対する支援事業
200	https://www.city.ichikikushikino.lg.jp/tokei3/kurashi/machizukuri/jutaku.html	いちき串木野市 住宅リフォーム事業補助金について
200	https://www.city.ichikikushikino.lg.jp/fukushi2/kenko/kosodate/kosodate/shisetsunintei.html	いちき串木野市 施設等利用給付
200	https://www.city.ichikikushikino.lg.jp/machibou2/kurashi/kyosei/choyosha.html	いちき串木野市 公益活動等支援のための庁用車貸付について
200	https://www.city.ichikikushikino.lg.jp/kenko1/donor.html	いちき串木野市 骨髄等移植ドナー支援助成金
200	https://www.city.ichikikushikino.lg.jp/sangyo1/deziden.html	いちき串木野市 デジタル田園都市国家構想交付金（地方創生推進タイプ）を活用した取組について
200	https://www.city.ichikikushikino.lg.jp/shokan1/sangyo/shoko/safety-net.html	いちき串木野市 セーフティネット保証制度
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/jidoboshi/e031003.html	南さつま市 すこやか子ども医療費助成制度
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/koreisha/fukushiservice/e044567.html	南さつま市 高齢者補聴器購入費補助
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/hoken/e031094.html	南さつま市 人間ドック補助
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/koreisha/e027227.html	南さつま市 認知症高齢者等GPS機器導入費助成
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/jidoboshi/e024470.html	南さつま市 特別児童扶養手当
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/koreisha/fukushiservice/zaitaku/e044657.html	南さつま市 在宅高齢者介護手当
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/koreisha/fukushiservice/zaitaku/e027587.html	南さつま市 高齢者日常生活用具給付事業
200	https://www.city.minamisatsuma.lg.jp/living/kyoiku-bunka-sports/kyoiku-oshirase/e020395.html	南さつま市 市外通学児童生徒の学校給食費補助
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/jidoboshi/e031668.html	南さつま市 妊婦のための支援給付事業
200	https://www.city.minamisatsuma.lg.jp/living/kenko-iryo-fukushi/boshi-kenko/e029847.html	南さつま市 妊婦歯科健康診査の助成
200	https://www.city.minamisatsuma.lg.jp/education-archive/kyoiku-bunka-sports/shogakukin/e031840.html	南さつま市 奨学金
