municipalityCode,municipalityName,rescore,hasStrong,hasAmount,hasTarget,hasDeadline,title,sourceUrl,snippet
"20485","白馬村","53","true","true","true","true","白馬村保育士移住支援事業補助金／白馬村","https://www.vill.hakuba.lg.jp/gyosei/kosodate_kyoiku_sports_bunka/kosodate/12828.html","補助金／白馬村 本文へ移動 文字サイズ変更 背景色変更 暮らし・手続き 健康・福祉 介護 子育て・教育 スポーツ 農業・商工 建設・入札 景観・環境 観光 行政情報 ふるさと納税 移住定住 暮らし・手続き 健康・福祉 介護 子育て・教育 スポーツ 農業・商��� 建設・入札 景観・環境 観光 行政情報 ふるさと納税 移住定住 ホーム 行政サイト 子育て・教育・スポーツ・文化 子育て 白馬村保育士移住支援事業補助金 白馬村保育士移住支援事業補助金 村内保育園等の保育士の確保及び定着並びに村内への移住の促進を図るため、"
"20485","白馬村","53","true","true","true","true","物価高対応子育て応援手当のご案内／白馬村","https://www.vill.hakuba.lg.jp/gyosei/kosodate_kyoiku_sports_bunka/kosodateshien/teate_josei/14199.html","手当のご案内／白馬村 本文へ移動 文字サイズ変更 背景色変更 暮らし・手続き 健康・福祉 介護 子育て・教育 スポーツ 農業・商工 建設・入札 景観・環境 観光 行政情報 ふるさと納税 移住定住 暮らし・手続き 健康・福祉 介護 子育て・教育 スポーツ 農業・商工 建設・入札 景観・環境 観光 行政情報 ふるさと納税 移住定住 ホーム 行政サイト 子育て・教育・スポーツ・文化 子育て支援 手当・助成 物価高対応子育て応援手当のご案内 物価高対応子育て応援手当のご案内 国が実施する総合経済対策により、物価高の影響が長"
"20485","白馬村","53","true","true","true","true","会計年度任用職員募集（ALT 外国語指導助手）／白馬村","https://www.vill.hakuba.lg.jp/gyosei/kosodate_kyoiku_sports_bunka/kyoiku/8964.html","手当、保健等 1.賃金：時間給2,600円 2.通勤手当：通勤距離2Km以上で支給します。 3.支給日：翌月の10日に支給します。 4.健康保険等：法律等の定めるところにより、各種保険等を適用します。 (4) 勤務場所 白馬中学校 3 募集期間、募集条件、任用期間、選考等 (1) 募集期間 令和8年1月23日（金曜日）まで (2) 募集条件 1.英語が母国語または同等の英語力を有する方 2.就労可能なビザを有する方 3.通勤可能な地域に住んでいる方 4.小中学校、高等学校、大学等で英語指導の経験がある方または児童・"
"20486","小谷村","53","true","true","true","true","高等学校等子育て応援助成金制度について／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ikuji/1/1075.html","助成金制度について／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・ス"
"20486","小谷村","53","true","true","true","true","児童手当／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ikuji/1/1268.html","手当／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事・"
"20486","小谷村","53","true","true","true","true","小谷村造血細胞移植後のワクチン再接種費用助成事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ikuji/2/1192.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","就学援助制度について／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ikuji/3/1066.html","減免を受けている 国民年金、国民健康保険の減免を受けている 児童扶養手当の支給を受けている 世帯更正貸付を受けている 生活保護の廃止又は停止になった 病気、災害など特別な事情により生活が困難である 保護者が日雇労働者を希望して公共職業安定所に求職申込みをしている その他 （注意）上記のいずれかに該当し、申請世帯の前年度所得を教育委員会の定める基準で審査し、可否決定をします。 就学援助の内容 学用品費 小中学校とも全学年対象 学校給食費 小中学校とも全学年対象 修学旅行費 小学校6年生、中学校3年生対象 新入学児童生"
"20486","小谷村","53","true","true","true","true","小谷村特別支援教育就学奨励費補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ikuji/3/1191.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","保育料月額表／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ikuji/5/1136.html","手当等の支給に関する法律（昭和39年法律第134号）に定める特別児童扶養手当の支給対象児 エ 精神保健及び精神障害者福祉に関する法律（昭和25年法律第123号）第45条に定める精神障害者保健福祉手帳の交付を受けた者 オ 国民年金法（昭和34年法律第141号）に定める国民年金の障害基礎年金等の受給者 その他の世帯 保育する児童の保護者の申請に基づき、生活保護法に定める要保護者等特に困窮していると教育長が認めた世帯 この表の均等割課税額は、地方税法（昭和25年法律第226号。）第292条第1項第1号、所得割課税額は同法"
"20486","小谷村","53","true","true","true","true","認定こども園のご案内／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ikuji/5/1220.html","免除します。 3歳未満児の保育料や延長保育料の減免等は、基本的にご両親（保護者）の所得によって決定されます。ただし、保護者以外の同居家族（祖父母）が園児や保護者を扶養している場合には、その方も算定の対象となる場合があります。 なお、算定は下表のとおり市町村民税をもとに行います。 当年度 保育料 月 4月 5月 6月 7月 8月 9月 10月 11月 12月 1月 2月 3月 市町村民税 前年度市町村民税 前年度市町村民税 前年度市町村民税 前年度市町村民税 前年度市町村民税 前年度市町村民税 当年度市町村民税 当年"
"20486","小谷村","53","true","true","true","true","妊婦のための支援給付／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ninshin-shussan/1/1231.html","給付／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事・"
"20486","小谷村","53","true","true","true","true","小谷村不妊等治療費補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ninshin-shussan/1/1235.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","令和8年度 小谷村奨学金貸与の申請について／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/kyoikuiinkai/1529.html","奨学金貸与の申請について／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文"
"20486","小谷村","53","true","true","true","true","妊娠・出産／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kosodate-kyoiku/ninshin-shussan/2/1234.html","給付金（1回目の給付金） アンケート実施・助産師または保健師との面談の際に申請書をお渡しします。申請し、認定後、給付金を指定の口座に振り込みます。 妊娠中 妊婦訪問(妊娠前期、妊娠後期の最低2回です) 妊婦健診では聞きそびれたことや妊娠中の悩み、心音の確認、妊娠経過の見通し等を村の助産師が訪問し、お母さんとお話します。 産前サポート 妊娠訪問とは別に、妊娠期の相談対応を助産師が無料で実施しています。 マタニティ教室(月1回) 2コマで1クールとし、助産師、保健師、管理栄養士、歯科衛生士が妊娠期から産後についてのお話"
"20486","小谷村","53","true","true","true","true","小谷村克雪住宅整備事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1178.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","小谷村災害危険住宅移転事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1188.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","小谷村集落施設等施設整備事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1154.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","小谷村被災者生活再建支援制度補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1184.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","小谷村建築物等アスベスト対策事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1249.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","【補助金】空き家対策支援事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1132.html","補助金】空き家対策支援事業補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ "
"20486","小谷村","53","true","true","true","true","小谷村住宅・建築物耐震改修促進事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1254.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","小谷村結婚新生活支援事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1305.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","住宅リフォーム事業補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/kurashi-tetsuzuki/sumai/1252.html","補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ 仕事"
"20486","小谷村","53","true","true","true","true","小谷村エアコン設置促進事業補助金のご案内／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/soshiki/juminfukushi-fukushi/r8_aircon_hojokin.html","補助金のご案内／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポー"
"20486","小谷村","53","true","true","true","true","【補助金】事業者移住誘致補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/soshiki/kankochiikishinko-shurakushien/gyomu/1/409.html","補助金】事業者移住誘致補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光"
"20486","小谷村","53","true","true","true","true","【補助金】定住住宅取得支援補助金／小谷村公式ホームページ","https://www.vill.otari.nagano.jp/soshiki/kankochiikishinko-shurakushien/gyomu/1/268.html","補助金】定住住宅取得支援補助金／小谷村公式ホームページ スマートフォン版を表示 本文へ 観光情報 キーワードで検索する ファイル種別 すべて PDF 閲覧支援 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t Français GO Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観"
