score	organization	title	url	snippet
42	高千穂町	高千穂町骨髄等移植ドナー支援事業	https://www.town-takachiho.jp/top/soshiki/genkiso/3/2/3876.html	高千穂町骨髄等移植ドナー支援事業／高千穂町 スマートフォン版を表示 本文へ 文字サイズ変更 背景色 現在のページ ホーム くらし・行政 組織から探す 保健福祉総合センターげんき荘 健康・福祉 健康づくり 高千穂町骨髄等移植ドナー支援事業 高千穂町骨髄等移植ドナー支援事業 奨励金の交付について 高千穂町では、骨髄等提供者（ドナー）の負担軽減を図ることを目的として、ドナー及びその方を雇用している事業所を対象に奨励金を交付します。 交付対象者
42	高千穂町	1か月児健診費用助成について	https://www.town-takachiho.jp/top/soshiki/genkiso/4/2/4066.html	1か月児健診費用助成について／高千穂町 スマートフォン版を表示 本文へ 文字サイズ変更 背景色 現在のページ ホーム くらし・行政 組織から探す 保健福祉総合センターげんき荘 子育て・教育 手当・助成 1か月児健診費用助成について 1か月児健診費用助成について 令和7年4月1日より1か月児健診の費用助成が始まりました 助成対象者 ・令和7年4月1日以降に出生し、生後27日～生後6週ごろまでに1か月児健康診査を受診した乳児の保護者 ・乳児
42	椎葉村	【令和７年度補正】重点支援地方交付金の活用状況について	https://www.vill.shiiba.miyazaki.jp/affair/2026/03/post_98.php	【令和７年度補正】重点支援地方交付金の活用状況について｜総務課｜椎葉村 English 中文（繁體字） 中文（简体字） 한국어 トップページ 村民向け情報 観光情報 行政情報 文字の大きさ 文字の大きさ 標準 文字の大きさ 拡大 背景色変更 背景色の変更 白色 背景色の変更 黒色 サイト内検索: 椎葉村トップ > お知らせ一覧 > 【令和７年度補正】重点支援地方交付金の活用状況について 椎葉村トップ > 村民向け情報一覧 > 【令和７年
42	椎葉村	マッチングアプリや結婚相談所の利用料等を補助します！	https://www.vill.shiiba.miyazaki.jp/welfare/2025/06/post_88.php	マッチングアプリや結婚相談所の利用料等を補助します！｜福祉保健課｜椎葉村 English 中文（繁體字） 中文（简体字） 한국어 トップページ 村民向け情報 観光情報 行政情報 文字の大きさ 文字の大きさ 標準 文字の大きさ 拡大 背景色変更 背景色の変更 白色 背景色の変更 黒色 サイト内検索: 椎葉村トップ > お知らせ一覧 > マッチングアプリや結婚相談所の利用料等を補助します！ 椎葉村トップ > 村民向け情報一覧 > マッチング
42	椎葉村	「男性育児休業取得奨励金」について	https://www.vill.shiiba.miyazaki.jp/welfare/2025/06/post_87.php	「男性育児休業取得奨励金」について｜福祉保健課｜椎葉村 English 中文（繁體字） 中文（简体字） 한국어 トップページ 村民向け情報 観光情報 行政情報 文字の大きさ 文字の大きさ 標準 文字の大きさ 拡大 背景色変更 背景色の変更 白色 背景色の変更 黒色 サイト内検索: 椎葉村トップ > お知らせ一覧 > 「男性育児休業取得奨励金」について 椎葉村トップ > 村民向け情報一覧 > 「男性育児休業取得奨励金」について 「男性育児
42	椎葉村	妊婦のための支援給付事業について	https://www.vill.shiiba.miyazaki.jp/welfare/2025/04/post_85.php	妊婦のための支援給付事業について｜福祉保健課｜椎葉村 English 中文（繁體字） 中文（简体字） 한국어 トップページ 村民向け情報 観光情報 行政情報 文字の大きさ 文字の大きさ 標準 文字の大きさ 拡大 背景色変更 背景色の変更 白色 背景色の変更 黒色 サイト内検索: 椎葉村トップ > お知らせ一覧 > 妊婦のための支援給付事業について 椎葉村トップ > 村民向け情報一覧 > 妊婦のための支援給付事業について 妊婦のための支援
42	椎葉村	令和６年度椎葉村重点支援給付金事業 （住民税非課税世帯・こども加算）のご案内	https://www.vill.shiiba.miyazaki.jp/welfare/2025/04/post_84.php	令和６年度椎葉村重点支援給付金事業 （住民税非課税世帯・こども加算）のご案内｜福祉保健課｜椎葉村 English 中文（繁體字） 中文（简体字） 한국어 トップページ 村民向け情報 観光情報 行政情報 文字の大きさ 文字の大きさ 標準 文字の大きさ 拡大 背景色変更 背景色の変更 白色 背景色の変更 黒色 サイト内検索: 椎葉村トップ > お知らせ一覧 > 令和６年度椎葉村重点支援給付金事業 （住民税非課税世帯・こども加算）のご案内 椎
40	椎葉村	入郷地区創業支援事業「創業塾」のご案内	https://www.vill.shiiba.miyazaki.jp/promote/2026/07/post_296.php	入郷地区創業支援事業「創業塾」のご案内｜地域振興課｜椎葉村 English 中文（繁體字） 中文（简体字） 한국어 トップページ 村民向け情報 観光情報 行政情報 文字の大きさ 文字の大きさ 標準 文字の大きさ 拡大 背景色変更 背景色の変更 白色 背景色の変更 黒色 サイト内検索: 椎葉村トップ > お知らせ一覧 > 入郷地区創業支援事業「創業塾」のご案内 椎葉村トップ > 村民向け情報一覧 > 入郷地区創業支援事業「創業塾」のご案内
40	椎葉村	妊婦のための支援給付事業について	https://www.vill.shiiba.miyazaki.jp/welfare/post_5.php	妊婦のための支援給付事業について｜福祉保健課｜椎葉村 English 中文（繁體字） 中文（简体字） 한국어 トップページ 村民向け情報 観光情報 行政情報 文字の大きさ 文字の大きさ 標準 文字の大きさ 拡大 背景色変更 背景色の変更 白色 背景色の変更 黒色 サイト内検索: 椎葉村トップ > 妊婦のための支援給付事業について 妊婦のための支援給付事業について 椎葉村では、「妊婦のための支援給付」として妊娠時と胎児の数の届出後の2回に
40	椎葉村	賃上げ対応緊急支援金	https://www.vill.shiiba.miyazaki.jp/promote/2026/05/post_291.php	賃上げ対応緊急支援金｜地域振興課｜椎葉村 English 中文（繁體字） 中文（简体字） 한국어 トップページ 村民向け情報 観光情報 行政情報 文字の大きさ 文字の大きさ 標準 文字の大きさ 拡大 背景色変更 背景色の変更 白色 背景色の変更 黒色 サイト内検索: 椎葉村トップ > お知らせ一覧 > 賃上げ対応緊急支援金 椎葉村トップ > 村民向け情報一覧 > 賃上げ対応緊急支援金 賃上げ対応緊急支援金 2026年05月27日 宮崎県
